161026.200; 48.469353; -4.565080; 100.0; 100° 14'
161044.800; 48.469230; -4.565270; 97.3; 98° 3'
161103.500; 48.469218; -4.565573; 95.2; 94° 41'
161115.100; 48.469168; -4.565818; 93.1; 105° 37'
161132.600; 48.468993; -4.565885; 89.6; 131° 15'
161146.200; 48.468832; -4.565995; 87.7; 143° 44'
161203.000; 48.468670; -4.566062; 84.1; 144° 40'
161219.600; 48.468458; -4.566042; 81.9; 125° 19'
161247.700; 48.468437; -4.566360; 78.7; 105° 22'
161304.100; 48.468248; -4.566515; 78.0; 103° 54'
161328.100; 48.468108; -4.566637; 76.0; 160° 17'
161336.700; 48.467912; -4.566493; 75.7; 156° 58'
161343.500; 48.467770; -4.566425; 75.3; 161° 14'
161408.100; 48.467662; -4.566257; 73.7; 147° 52'
161423.000; 48.467528; -4.566308; 73.1; 100° 40'
161441.200; 48.467380; -4.566533; 71.1; 103° 23'
161453.200; 48.467247; -4.566718; 70.3; 110° 60'
161516.100; 48.467128; -4.566975; 66.4; 94° 35'
161533.200; 48.467115; -4.567195; 64.5; 67° 18'
161550.100; 48.467223; -4.567498; 63.4; 95° 53'
161611.700; 48.467182; -4.567762; 61.0; 86° 54'
161647.900; 48.467117; -4.568040; 60.8; 78° 32'
161657.200; 48.467103; -4.568283; 60.8; 86° 58'
161714.600; 48.467160; -4.568625; 59.6; 85° 15'
161728.700; 48.466998; -4.568727; 58.9; 98° 17'
161752.100; 48.467027; -4.568983; 58.2; 84° 14'
161806.000; 48.466968; -4.569310; 57.7; 80° 37'
161819.600; 48.466883; -4.569545; 57.5; 82° 7'
161836.000; 48.467005; -4.569825; 55.3; 84° 37'
161852.200; 48.466927; -4.570128; 54.8; 86° 20'
161912.300; 48.466832; -4.570272; 53.8; 93° 54'
161929.600; 48.466803; -4.570570; 51.7; 100° 49'
161953.900; 48.466778; -4.570828; 51.6; 65° 23'
162031.100; 48.466652; -4.571040; 51.8; 101° 25'
162040.900; 48.466483; -4.571045; 51.4; 106° 15'
